name,category,manufacturer,price,stock,requires_prescription,description,indications,generic_equivalent,contraindications
Paracetamol 500mg,Pain Relief,Generic Pharma,25.00,500,False,Fever and pain relief,Fever; Headache; Body ache; Toothache; Menstrual pain,Acetaminophen,Severe liver disease; Alcohol dependence
Ibuprofen 400mg,Pain Relief,Generic Pharma,35.00,400,False,Anti-inflammatory pain relief,Headache; Muscle pain; Arthritis; Fever; Menstrual cramps,Advil,Stomach ulcers; Kidney disease; Heart disease
Aspirin 75mg,Cardiovascular,Bayer,20.00,300,False,Blood thinner and pain relief,Heart attack prevention; Stroke prevention; Mild pain,Acetylsalicylic acid,Bleeding disorders; Children under 12; Stomach ulcers
Cetirizine 10mg,Allergy,Sun Pharma,40.00,350,False,Antihistamine for allergies,Allergic rhinitis; Hay fever; Itching; Hives; Sneezing,Zyrtec,Severe kidney disease; Pregnancy (consult doctor)
Omeprazole 20mg,Digestive,Dr Reddy's,55.00,250,False,Reduces stomach acid,Acidity; Heartburn; GERD; Stomach ulcers; Acid reflux,Prilosec,Liver disease; Osteoporosis risk
Metformin 500mg,Diabetes,Cipla,45.00,200,True,Blood sugar control,Type 2 diabetes; PCOS,Glucophage,Kidney disease; Liver disease; Heart failure
Amlodipine 5mg,Cardiovascular,Lupin,50.00,180,True,Blood pressure control,Hypertension; High blood pressure; Angina,Norvasc,Severe low blood pressure; Aortic stenosis
Atorvastatin 10mg,Cardiovascular,Ranbaxy,60.00,150,True,Cholesterol management,High cholesterol; Heart disease prevention,Lipitor,Liver disease; Pregnancy; Breastfeeding
Amoxicillin 500mg,Antibiotic,Alkem,80.00,120,True,Bacterial infection treatment,Bacterial infections; Respiratory infections; UTI; Ear infections,Amoxil,Penicillin allergy; Mononucleosis
Azithromycin 500mg,Antibiotic,Cipla,120.00,100,True,Broad-spectrum antibiotic,Respiratory infections; Skin infections; STDs,Zithromax,Liver disease; Heart rhythm problems
Cough Syrup,Respiratory,Himalaya,85.00,200,False,Cough relief,Dry cough; Wet cough; Throat irritation; Cold,None,Asthma (consult doctor); Children under 2
Vitamin D3 1000IU,Supplement,HealthKart,150.00,400,False,Bone health supplement,Vitamin D deficiency; Bone health; Immunity,Cholecalciferol,Hypercalcemia; Kidney stones
Vitamin C 500mg,Supplement,HealthKart,120.00,450,False,Immunity booster,Immunity; Cold prevention; Antioxidant; Wound healing,Ascorbic acid,Kidney stones; Iron overload disorders
Multivitamin,Supplement,Centrum,200.00,300,False,Daily nutritional supplement,General health; Nutritional deficiency; Energy,None,Hypervitaminosis; Specific vitamin allergies
Calcium 500mg,Supplement,Shelcal,180.00,350,False,Bone health,Calcium deficiency; Osteoporosis; Bone health,Calcium carbonate,Hypercalcemia; Kidney stones
Diclofenac Gel,Pain Relief,Voltaren,95.00,150,False,Topical pain relief,Muscle pain; Joint pain; Sprains; Arthritis,Voltaren Gel,Open wounds; Skin infections
Betadine Solution,Antiseptic,Win-Medicare,75.00,200,False,Wound disinfectant,Cuts; Wounds; Burns; Skin infections,Povidone-iodine,Iodine allergy; Thyroid disorders
Dettol Antiseptic,Antiseptic,Reckitt,65.00,250,False,Antiseptic liquid,Cuts; Wounds; Skin disinfection,Chloroxylenol,Deep wounds; Eyes
Insulin Glargine,Diabetes,Sanofi,850.00,50,True,Long-acting insulin,Type 1 diabetes; Type 2 diabetes,Lantus,Hypoglycemia; Diabetic ketoacidosis
