symptom,medicine_name,relevance_score,notes
headache,Paracetamol 500mg,1.0,First-line treatment for mild to moderate headache
headache,Ibuprofen 400mg,0.9,Alternative for headache with inflammation
headache,Aspirin 75mg,0.7,For mild headache
fever,Paracetamol 500mg,1.0,First-line fever reducer
fever,Ibuprofen 400mg,0.9,Alternative fever reducer with anti-inflammatory
body ache,Paracetamol 500mg,0.9,General body pain relief
body ache,Ibuprofen 400mg,1.0,Better for inflammatory body aches
muscle pain,Ibuprofen 400mg,1.0,Anti-inflammatory for muscle pain
muscle pain,Diclofenac Gel,0.9,Topical application for localized muscle pain
muscle pain,Naproxen 500mg,0.9,Long-acting pain relief
joint pain,Ibuprofen 400mg,0.9,Anti-inflammatory for joint pain
joint pain,Diclofenac Gel,1.0,Topical for joint pain
joint pain,Naproxen 500mg,0.9,Long-acting for chronic joint pain
toothache,Paracetamol 500mg,0.9,Temporary toothache relief
toothache,Ibuprofen 400mg,1.0,Better for dental pain with inflammation
menstrual pain,Ibuprofen 400mg,1.0,First-line for menstrual cramps
menstrual pain,Paracetamol 500mg,0.8,Alternative for menstrual pain
menstrual pain,Naproxen 500mg,0.9,Long-acting for severe cramps
allergy,Cetirizine 10mg,1.0,Non-drowsy antihistamine
allergy,Fexofenadine 120mg,0.9,Alternative non-drowsy option
allergy,Loratadine 10mg,0.9,Another non-drowsy option
sneezing,Cetirizine 10mg,1.0,Antihistamine for sneezing
sneezing,Fexofenadine 120mg,0.9,Alternative for allergic sneezing
sneezing,Loratadine 10mg,0.9,Non-drowsy option
runny nose,Cetirizine 10mg,0.9,Reduces nasal discharge
runny nose,Fexofenadine 120mg,0.8,Alternative for runny nose
itching,Cetirizine 10mg,1.0,Antihistamine for itching
itching,Hydrocortisone Cream,0.9,Topical for skin itching
itching,Loratadine 10mg,0.8,Oral antihistamine
hives,Cetirizine 10mg,1.0,First-line for hives
hives,Fexofenadine 120mg,0.9,Alternative for hives
acidity,Omeprazole 20mg,1.0,Proton pump inhibitor
acidity,Pantoprazole 40mg,0.9,Alternative PPI
acidity,Esomeprazole 40mg,0.9,Another PPI option
heartburn,Omeprazole 20mg,1.0,Reduces stomach acid
heartburn,Ranitidine 150mg,0.8,H2 blocker for heartburn
heartburn,Pantoprazole 40mg,0.9,Alternative PPI
heartburn,Esomeprazole 40mg,0.9,Strong PPI option
acid reflux,Omeprazole 20mg,1.0,GERD treatment
acid reflux,Pantoprazole 40mg,0.9,Alternative for GERD
acid reflux,Esomeprazole 40mg,0.9,Strong option for GERD
stomach pain,Omeprazole 20mg,0.8,If acid-related
stomach pain,Ranitidine 150mg,0.7,For mild stomach discomfort
nausea,Domperidone 10mg,1.0,Anti-nausea medication
nausea,Ranitidine 150mg,0.6,If acid-related nausea
vomiting,Domperidone 10mg,1.0,Prevents vomiting
bloating,Domperidone 10mg,0.8,Improves gastric motility
indigestion,Domperidone 10mg,0.8,Aids digestion
indigestion,Omeprazole 20mg,0.7,If acid-related
diarrhea,Loperamide 2mg,1.0,Anti-diarrheal
cough,Cough Syrup,1.0,Cough suppressant
cough,Salbutamol Inhaler,0.6,If asthma-related cough
cold,Cough Syrup,0.8,Symptomatic relief
cold,Paracetamol 500mg,0.7,For cold with fever
cold,Vitamin C 500mg,0.6,Immune support
